prefectural_bureau,station_id,prec_no,block_no,station_type,url_station_type,station_name,katakana_name,romaji_name,location,latitude_decimal,longitude_decimal,elevation,observation_start_date,observation_start_date_rain,observation_start_date_other,weather_info_name,anemometer_height,thermometer_height,notes1,notes2,rainfall_YN,temperature_YN,wind_YN,sunshine_YN,relative_humidity_YN,atmospheric_pressure_YN,snowfall_YN
宗谷,13011,11,1573,雨,a,幌延,ﾎﾛﾉﾍﾞ,horonobe,天塩郡幌延町上幌延,45.00666666666667,141.85166666666666,5,平17.11.15,2005-11-15,2005-11-15,幌延,－,－,－,－,Y,N,N,N,N,N,N
上川,12011,12,1201,四,a,中川,ﾅｶｶﾞﾜ,nakagawa,中川郡中川町中川,44.82833333333333,142.07666666666665,22,昭52.10.19,1977-10-19,1977-10-19,中川,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
上川,12041,12,1197,四,a,音威子府,ｵﾄｲﾈｯﾌﾟ,otoineppu,中川郡音威子府村音威子府,44.72666666666667,142.265,40,昭52.10.17,1977-10-17,1977-10-17,音威子府,9.9,3.5,12905,－,Y,Y,Y,Y,Y,N,Y
上川,12066,12,1570,雨,a,小車,ｵｸﾞﾙﾏ,oguruma,中川郡美深町小車,44.608333333333334,142.295,60,平17.11.9,2005-11-09,2005-11-09,美深町小車,－,－,－,－,Y,N,N,N,N,N,N
上川,12141,12,0006,四,a,美深,ﾋﾞﾌｶ,bifuka,中川郡美深町西町,44.48,142.34166666666667,77,#昭52.10.14,1974-11-01,1977-10-14,美深町西町,9.9,3.4,12900,－,Y,Y,Y,Y,Y,N,Y
上川,12181,12,0008,四,a,名寄,ﾅﾖﾛ,nayoro,名寄市大橋,44.37,142.45666666666668,89,#昭51.4.1,1974-11-01,1976-04-01,名寄市大橋,9.9,3,12910,－,Y,Y,Y,Y,Y,N,Y
上川,12217,12,0009,雨,a,西風連,ﾆｼﾌｳﾚﾝ,nishifuuren,名寄市風連町西風連,44.295,142.35833333333332,128,平17.11.8,2005-11-08,2005-11-08,名寄市西風連,－,－,－,－,Y,N,N,N,N,N,N
上川,12231,12,0010,四,a,下川,ｼﾓｶﾜ,shimokawa,上川郡下川町南町,44.295,142.63666666666666,143,#昭52.10.14,1974-11-01,1977-10-14,下川,9.9,3.3,12925,－,Y,Y,Y,Y,Y,N,Y
上川,12256,12,1572,雨,a,剣淵,ｹﾝﾌﾞﾁ,kenbuchi,上川郡剣淵町旭町,44.10666666666667,142.35333333333332,138,平17.11.10,2005-11-10,2005-11-10,剣淵,－,－,－,－,Y,N,N,N,N,N,N
上川,12261,12,0011,四,a,士別,ｼﾍﾞﾂ,shibetsu,士別市武徳町,44.18666666666667,142.41666666666666,135,#昭52.10.13,1974-11-01,1977-10-13,士別市九十九東,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
上川,12266,12,1047,四,a,朝日,ｱｻﾋ,asahi,士別市朝日町中央,44.11833333333333,142.595,225,昭52.10.13,1977-10-13,1977-10-13,士別市朝日,9.9,3.1,－,－,Y,Y,Y,Y,Y,N,N
上川,12301,12,1055,四,a,和寒,ﾜｯｻﾑ,wassamu,上川郡和寒町日ノ出,44.028333333333336,142.41,150,昭52.10.12,1977-10-12,1977-10-12,和寒,9.9,3.1,12915,－,Y,Y,Y,Y,Y,N,Y
上川,12386,12,1191,四,a,江丹別,ｴﾀﾝﾍﾞﾂ,etanbetsu,旭川市江丹別町芳野,43.87,142.26,140,昭52.10.11,1977-10-11,1977-10-11,旭川市江丹別,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
上川,12396,12,1048,四,a,比布,ﾋﾟｯﾌﾟ,pippu,上川郡比布町北2線,43.87,142.47,164,(昭50.5.27)昭52.10.11,1975-05-27,1977-10-11,比布,9.9,3,－,－,Y,Y,Y,Y,Y,N,N
上川,12411,12,0015,四,a,上川,ｶﾐｶﾜ,kamikawa,上川郡上川町栄町,43.846666666666664,142.75333333333333,324,#昭52.10.12,1974-11-01,1977-10-12,上川町栄町,9.9,2.9,12920,－,Y,Y,Y,Y,Y,N,Y
上川,12442,12,47407,官,s,旭川,ｱｻﾋｶﾜ,asahikawa,旭川市宮前1条　旭川地方気象台,43.75666666666667,142.37166666666667,120,平16.9.9,2004-09-09,2004-09-09,旭川市宮前１条,47,1.5,12927,－,Y,Y,Y,Y,Y,Y,Y
上川,12451,12,1184,四,a,東川,ﾋｶﾞｼｶﾜ,higashikawa,上川郡東川町北町,43.70166666666667,142.50833333333333,215,昭52.10.5,1977-10-05,1977-10-05,東川,9.9,2.8,－,－,Y,Y,Y,Y,Y,N,N
上川,12457,12,0017,雨,a,瑞穂,ﾐｽﾞﾎ,mizuho,旭川市東旭川町瑞穂,43.736666666666665,142.63833333333332,289,昭59.10.8,1984-10-08,1984-10-08,旭川市瑞穂,－,－,－,－,Y,N,N,N,N,N,N
上川,12471,12,1049,雨,a,層雲峡,ｿｳｳﾝｷｮｳ,souunkyou,上川郡上川町層雲峡高山,43.75333333333333,142.93,540,昭50.5.27,1975-05-27,1975-05-27,上川町層雲峡,－,－,12930,－,Y,N,N,N,N,N,Y
上川,12501,12,1458,官,a,東神楽,ﾋｶﾞｼｶｸﾞﾗ,higashikagura,上川郡東神楽町東2線　旭川航空気象観測所,43.67,142.44666666666666,211,平15.1.1,2003-01-01,2003-01-01,旭川空港,10,1.5,12932,日照・湿度・気圧を除く,Y,Y,Y,N,N,N,Y
上川,12512,12,1185,四,a,志比内,ｼﾋﾞﾅｲ,shibinai,上川郡東神楽町志比内,43.64333333333333,142.58166666666668,310,平5.1.27,1993-01-27,1993-01-27,東神楽町志比内,9.9,2.8,－,－,Y,Y,Y,Y,Y,N,N
上川,12551,12,1052,四,a,美瑛,ﾋﾞｴｲ,biei,上川郡美瑛町原野5線,43.58833333333333,142.49333333333334,250,(昭50.5.28)昭52.10.6,1975-05-28,1977-10-06,美瑛町原野５線,9.9,2.7,12935,－,Y,Y,Y,Y,Y,N,Y
上川,12596,12,1190,四,a,上富良野,ｶﾐﾌﾗﾉ,kamifurano,空知郡上富良野町大町,43.455,142.465,220,昭52.10.8,1977-10-08,1977-10-08,上富良野,9.9,2.7,－,－,Y,Y,Y,Y,Y,N,N
上川,12607,12,0020,雨,a,白金,ｼﾛｶﾞﾈ,shirogane,上川郡美瑛町白金,43.475,142.65,658,昭59.10.8,1984-10-08,1984-10-08,美瑛町白金,－,－,－,－,Y,N,N,N,N,N,N
上川,12626,12,0021,四,a,富良野,ﾌﾗﾉ,furano,富良野市東町,43.333333333333336,142.4,174,#昭51.4.1,1974-11-01,1976-04-01,富良野市東町,9.9,2.7,12940,－,Y,Y,Y,Y,Y,N,Y
上川,12632,12,1280,四,a,麓郷,ﾛｸｺﾞｳ,rokugou,富良野市麓郷市街地,43.30166666666667,142.52166666666668,315,昭53.10.25,1978-10-25,1978-10-25,富良野市麓郷,9.9,2.7,－,－,Y,Y,Y,Y,Y,N,N
上川,12686,12,1574,雨,a,金山,ｶﾅﾔﾏ,kanayama,空知郡南富良野町金山地先,43.138333333333335,142.41666666666666,284,平17.11.17,2005-11-17,2005-11-17,南富良野町金山,－,－,－,－,Y,N,N,N,N,N,N
上川,12691,12,1188,四,a,幾寅,ｲｸﾄﾗ,ikutora,空知郡南富良野町幾寅,43.16833333333334,142.56833333333333,350,昭52.10.7,1977-10-07,1977-10-07,南富良野町幾寅,9.9,2.6,12945,－,Y,Y,Y,Y,Y,N,Y
上川,12746,12,1189,四,a,占冠,ｼﾑｶｯﾌﾟ,shimukappu,勇払郡占冠村中央,42.97833333333333,142.395,332,昭52.10.7,1977-10-07,1977-10-07,占冠,9.9,2.8,12950,－,Y,Y,Y,Y,Y,N,Y
上川,15041,12,1279,四,a,朱鞠内,ｼｭﾏﾘﾅｲ,shumarinai,雨竜郡幌加内町朱鞠内,44.281666666666666,142.16166666666666,255,昭53.10.24,1978-10-24,1978-10-24,幌加内町朱鞠内,9.9,3.5,15900,－,Y,Y,Y,Y,Y,N,Y
上川,15076,12,1053,四,a,幌加内,ﾎﾛｶﾅｲ,horokanai,雨竜郡幌加内町幌加内,44.01,142.16,159,(昭50.5.28)昭52.10.28,1975-05-28,1977-10-28,幌加内町幌加内,9.3,3.5,15905,－,Y,Y,Y,Y,Y,N,Y
留萌,13061,13,0024,四,a,天塩,ﾃｼｵ,teshio,天塩郡天塩町川口,44.89333333333333,141.76166666666666,9,#昭52.10.26,1974-11-01,1977-10-26,天塩,9.9,2.7,13900,－,Y,Y,Y,Y,Y,N,Y
留萌,13086,13,0025,四,a,遠別,ｴﾝﾍﾞﾂ,enbetsu,天塩郡遠別町幸和,44.718333333333334,141.80666666666667,7,#昭52.10.26,1974-11-01,1977-10-26,遠別,9.9,2.7,－,－,Y,Y,Y,Y,Y,N,N
留萌,13121,13,1216,四,a,初山別,ｼｮｻﾝﾍﾞﾂ,shosanbetsu,苫前郡初山別村初山別,44.52333333333333,141.77,27,昭52.10.28,1977-10-28,1977-10-28,初山別,9.9,2.7,13905,－,Y,Y,Y,Y,Y,N,Y
留萌,13146,13,1213,四,a,焼尻,ﾔｷﾞｼﾘ,yagishiri,苫前郡羽幌町焼尻白浜,44.428333333333335,141.42166666666665,38,昭52.10.27,1977-10-27,1977-10-27,羽幌町焼尻,9.9,3.1,－,－,Y,Y,Y,Y,Y,N,N
留萌,13181,13,47404,官,s,羽幌,ﾊﾎﾞﾛ,haboro,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44.36333333333334,141.7,8,#昭51.1.1,1974-11-01,1976-01-01,羽幌町南３条,21.6,1.5,13907,－,Y,Y,Y,Y,Y,Y,Y
留萌,13206,13,1112,雨,a,古丹別,ｺﾀﾝﾍﾞﾂ,kotanbetsu,苫前郡苫前町古丹別,44.265,141.72166666666666,15,昭51.8.4,1976-08-04,1976-08-04,苫前町古丹別,－,－,13910,－,Y,N,N,N,N,N,Y
留萌,13261,13,1217,四,a,達布,ﾀｯﾌﾟ,tappu,留萌郡小平町達布,44.04833333333333,141.85666666666665,30,昭52.10.31,1977-10-31,1977-10-31,小平町達布,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
留萌,13277,13,47406,官,s,留萌,ﾙﾓｲ,rumoi,留萌市大町　留萌特別地域気象観測所,43.945,141.63166666666666,24,昭55.6.21,1980-06-21,1980-06-21,留萌市大町,16.3,1.5,13915,－,Y,Y,Y,Y,Y,Y,Y
留萌,13311,13,0028,四,a,増毛,ﾏｼｹ,mashike,増毛郡増毛町別苅,43.848333333333336,141.51,20,#昭53.10.24,1974-11-01,1978-10-24,増毛,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
留萌,13321,13,1218,四,a,幌糠,ﾎﾛﾇｶ,horonuka,留萌市幌糠町,43.85333333333333,141.76,20,昭52.10.31,1977-10-31,1977-10-31,留萌市幌糠,9.9,3.5,13920,－,Y,Y,Y,Y,Y,N,Y
石狩,14026,14,1193,四,a,浜益,ﾊﾏﾏｽ,hamamasu,石狩市浜益区川下,43.58166666666666,141.38666666666666,3,昭52.10.12,1977-10-12,1977-10-12,石狩市浜益,9.9,3.3,－,－,Y,Y,Y,Y,Y,N,N
石狩,14071,14,1194,四,a,厚田,ｱﾂﾀ,atsuta,石狩市厚田区別狩,43.39666666666667,141.43666666666667,5,昭52.10.12,1977-10-12,1977-10-12,石狩市厚田,9.9,3.5,14900,－,Y,Y,Y,Y,Y,N,Y
石狩,14101,14,0030,四,a,新篠津,ｼﾝｼﾉﾂ,shinshinotsu,石狩郡新篠津村第46線北,43.22,141.645,9,#昭53.10.23,1974-11-01,1978-10-23,新篠津,9.9,3.5,14910,－,Y,Y,Y,Y,Y,N,Y
石狩,14116,14,0031,四,a,山口,ﾔﾏｸﾞﾁ,yamaguchi,札幌市手稲区手稲山口,43.14833333333333,141.22166666666666,5,#昭52.10.11,1974-11-01,1977-10-11,札幌市手稲区山口,9.9,3,－,－,Y,Y,Y,Y,Y,N,N
石狩,14121,14,1085,四,a,石狩,ｲｼｶﾘ,ishikari,石狩市生振,43.193333333333335,141.37,5,平2.3.8,1990-03-08,1990-03-08,石狩市石狩,10.1,3.3,14905,－,Y,Y,Y,Y,Y,N,Y
石狩,14136,14,1507,四,a,江別,ｴﾍﾞﾂ,ebetsu,江別市江別太,43.11,141.60166666666666,8,平12.10.31,2000-10-31,2000-10-31,江別,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
石狩,14157,14,0032,雨,a,手稲山,ﾃｲﾈﾔﾏ,teineyama,札幌市手稲区手稲金山,43.083333333333336,141.20166666666665,568,平22.3.24,2010-03-24,2010-03-24,札幌市手稲山,－,－,－,－,Y,N,N,N,N,N,N
石狩,14163,14,47412,官,s,札幌,ｻｯﾎﾟﾛ,sapporo,札幌市中央区北2条西　札幌管区気象台,43.06,141.32833333333335,17,平13.9.26,2001-09-26,2001-09-26,札幌市中央区,－,1.5,14913,気温、雨、日照,Y,Y,Y,Y,Y,Y,Y
石狩,14163,14,47412,官,s,札幌,ｻｯﾎﾟﾛ,sapporo,札幌市中央区北2条西,43.06,141.32666666666665,17,平13.9.26,2001-09-26,2001-09-26,札幌市中央区,59.7,1.5,－,風,Y,Y,Y,Y,Y,Y,N
石狩,14191,14,0034,雨,a,小金湯,ｺｶﾞﾈﾕ,koganeyu,札幌市南区小金湯,42.96333333333333,141.21666666666667,230,#,1974-11-01,1974-11-01,札幌市南区小金湯,－,－,14915,－,Y,N,N,N,N,N,Y
石狩,14206,14,0035,四,a,恵庭島松,ｴﾆﾜｼﾏﾏﾂ,eniwashimamatsu,恵庭市下島松,42.92666666666667,141.565,30,#昭52.10.13,1974-11-01,1977-10-13,恵庭市島松,9.9,2.7,14920,－,Y,Y,Y,Y,Y,N,Y
石狩,14286,14,0037,四,a,支笏湖畔,ｼｺﾂｺﾊﾝ,shikotsukohan,千歳市支笏湖温泉番外地,42.77166666666667,141.40666666666667,290,#昭52.10.14,1974-11-01,1977-10-14,千歳市支笏湖畔,9.9,3.1,－,－,Y,Y,Y,Y,Y,N,N
石狩,14296,14,1459,官,a,千歳,ﾁﾄｾ,chitose,千歳市美々　新千歳航空測候所,42.775,141.69166666666666,22,平15.1.1,2003-01-01,2003-01-01,新千歳空港,10,1.5,14923,日照・湿度・気圧を除く,Y,Y,Y,N,N,N,Y
空知,15116,15,0038,四,a,石狩沼田,ｲｼｶﾘﾇﾏﾀ,ishikarinumata,雨竜郡沼田町緑町,43.815,141.92666666666668,63,#昭51.4.1,1974-11-01,1976-04-01,沼田町石狩沼田,9.9,3.5,15935,－,Y,Y,Y,Y,Y,N,Y
空知,15156,15,1674,四,a,秩父別,ﾁｯﾌﾟﾍﾞﾂ,chippubetsu,雨竜郡秩父別町５条,43.78,141.96166666666667,51,令4.10.31,2022-10-31,2022-10-31,秩父別,7.9,3.2,15940,－,Y,Y,Y,Y,Y,N,Y
空知,15161,15,0039,四,a,深川,ﾌｶｶﾞﾜ,fukagawa,深川市一已町一已,43.718333333333334,142.07333333333332,55,#昭52.10.7,1974-11-01,1977-10-07,深川,9.9,3.1,15910,－,Y,Y,Y,Y,Y,N,Y
空知,15197,15,1567,雨,a,雨竜,ｳﾘｭｳ,uryuu,雨竜郡雨竜町満寿,43.66,141.89166666666668,42,平17.11.1,2005-11-01,2005-11-01,雨竜町満寿,－,－,－,－,Y,N,N,N,N,N,N
空知,15216,15,1419,雨,a,新城,ｼﾝｼﾞｮｳ,shinjou,芦別市新城,43.611666666666665,142.20333333333335,147,昭59.10.5,1984-10-05,1984-10-05,芦別市新城,－,－,－,－,Y,N,N,N,N,N,N
空知,15231,15,1287,四,a,空知吉野,ｿﾗﾁﾖｼﾉ,sorachiyoshino,樺戸郡新十津川町吉野,43.595,141.73166666666665,100,昭53.10.31,1978-10-31,1978-10-31,新十津川町空知吉野,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
空知,15241,15,0041,四,a,滝川,ﾀｷｶﾜ,takikawa,滝川市南滝の川,43.57,141.93833333333333,50,#昭51.4.1,1974-11-01,1976-04-01,滝川,9.9,3.2,15930,－,Y,Y,Y,Y,Y,N,Y
空知,15247,15,1566,雨,a,赤平,ｱｶﾋﾞﾗ,akabira,赤平市東豊里町,43.553333333333335,142.06666666666666,120,平17.10.31,2005-10-31,2005-10-31,赤平,－,－,－,－,Y,N,N,N,N,N,N
空知,15251,15,0043,四,a,芦別,ｱｼﾍﾞﾂ,ashibetsu,芦別市北2条東,43.52,142.19,91,#昭53.10.25,1974-11-01,1978-10-25,芦別市北２条,9.9,2.8,15915,－,Y,Y,Y,Y,Y,N,Y
空知,15276,15,1400,雨,a,浦臼,ｳﾗｳｽ,urausu,樺戸郡浦臼町浦臼内,43.428333333333335,141.80833333333334,25,昭58.8.2,1983-08-02,1983-08-02,浦臼,－,－,－,－,Y,N,N,N,N,N,N
空知,15311,15,0999,四,a,月形,ﾂｷｶﾞﾀ,tsukigata,樺戸郡月形町知来乙,43.33,141.61666666666667,50,(昭50.5.16)昭52.10.6,1975-05-16,1977-10-06,月形,9.9,3.2,－,－,Y,Y,Y,Y,Y,N,N
空知,15321,15,0044,四,a,美唄,ﾋﾞﾊﾞｲ,bibai,美唄市北美唄町二区,43.36333333333334,141.82666666666665,16,#昭52.10.5,1974-11-01,1977-10-05,美唄,9.9,3.2,15920,－,Y,Y,Y,Y,Y,N,Y
空知,15356,15,47413,官,s,岩見沢,ｲﾜﾐｻﾞﾜ,iwamizawa,岩見沢市5条東　岩見沢特別地域気象観測所,43.211666666666666,141.785,42,#昭50.4.3,1974-11-01,1975-04-03,岩見沢市５条,22.1,1.5,15923,－,Y,Y,Y,Y,Y,Y,Y
空知,15391,15,1068,雨,a,栗沢,ｸﾘｻﾜ,kurisawa,岩見沢市栗沢町東本町,43.12166666666667,141.745,20,昭50.6.7,1975-06-07,1975-06-07,岩見沢市栗沢,－,－,－,－,Y,N,N,N,N,N,N
空知,15431,15,0047,四,a,長沼,ﾅｶﾞﾇﾏ,naganuma,夕張郡長沼町本町北,43.01166666666666,141.69333333333333,13,#昭52.10.5,1974-11-01,1977-10-05,長沼,10.1,3.3,－,－,Y,Y,Y,Y,Y,N,N
空知,15442,15,0049,四,a,夕張,ﾕｳﾊﾞﾘ,yuubari,夕張市鹿の谷山手町,43.038333333333334,141.95666666666668,293,#昭51.4.1,1974-11-01,1976-04-01,夕張市鹿の谷,10.1,3.5,15925,－,Y,Y,Y,Y,Y,N,Y
空知,15451,15,1401,雨,a,鹿島,ｶｼﾏ,kashima,夕張市鹿島富士見町,43.08,142.1,310,昭58.8.2,1983-08-02,1983-08-02,夕張市鹿島,－,－,－,－,Y,N,N,N,N,N,N
空知,15491,15,1402,雨,a,沼の沢,ﾇﾏﾉｻﾜ,numanosawa,夕張市沼ノ沢,42.96,142.02,161,昭58.8.2,1983-08-02,1983-08-02,夕張市沼の沢,－,－,－,－,Y,N,N,N,N,N,N
後志,16026,16,0051,四,a,美国,ﾋﾞｸﾆ,bikuni,積丹郡積丹町美国町船澗,43.27166666666667,140.56333333333333,75,#昭52.10.25,1974-11-01,1977-10-25,積丹町美国,9.9,3.3,－,－,Y,Y,Y,Y,Y,N,N
後志,16061,16,1208,四,a,神恵内,ｶﾓｴﾅｲ,kamoenai,古宇郡神恵内村神恵内村,43.145,140.42333333333335,50,昭52.10.24,1977-10-24,1977-10-24,神恵内,9.9,3.2,－,－,Y,Y,Y,Y,Y,N,N
後志,16076,16,0052,四,a,余市,ﾖｲﾁ,yoichi,余市郡余市町豊丘町,43.181666666666665,140.75833333333333,20,#昭52.10.29,1974-11-01,1977-10-29,余市,9.9,3.5,16905,－,Y,Y,Y,Y,Y,N,Y
後志,16091,16,47411,官,s,小樽,ｵﾀﾙ,otaru,小樽市勝納町　小樽特別地域気象観測所,43.181666666666665,141.015,25,#昭50.12.23,1974-11-01,1975-12-23,小樽,13.6,1.5,16903,－,Y,Y,Y,Y,Y,Y,Y
後志,16126,16,1091,雨,a,赤井川,ｱｶｲｶﾞﾜ,akaigawa,余市郡赤井川村赤井川,43.083333333333336,140.82,148,昭51.5.12,1976-05-12,1976-05-12,赤井川,－,－,16900,－,Y,N,N,N,N,N,Y
後志,16156,16,0054,四,a,共和,ｷｮｳﾜ,kyouwa,岩内郡共和町南幌似,42.98,140.60333333333332,15,#昭52.10.24,1974-11-01,1977-10-24,共和,9.9,3.3,16910,－,Y,Y,Y,Y,Y,N,Y
後志,16206,16,0055,四,a,蘭越,ﾗﾝｺｼ,rankoshi,磯谷郡蘭越町蘭越町,42.81,140.54166666666666,39,#昭52.10.20,1974-11-01,1977-10-20,蘭越,9.9,3.5,16915,－,Y,Y,Y,Y,Y,N,Y
後志,16217,16,47433,官,s,倶知安,ｸｯﾁｬﾝ,kucchan,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42.9,140.75666666666666,176,平3.8.28,1991-08-28,1991-08-28,倶知安,30.8,1.5,16917,－,Y,Y,Y,Y,Y,Y,Y
後志,16252,16,47421,官,s,寿都,ｽｯﾂ,suttsu,寿都郡寿都町新栄町　寿都特別地域気象観測所,42.795,140.22333333333333,33,平元.9.22,1989-09-22,1989-09-22,寿都,17.6,1.5,16918,－,Y,Y,Y,Y,Y,Y,Y
後志,16272,16,1615,雨,a,ニセコ,ﾆｾｺ,niseko,虻田郡ニセコ町宮田,42.778333333333336,140.66666666666666,113,平22.3.11,2010-03-11,2010-03-11,ニセコ町宮田,－,－,－,－,Y,N,N,N,N,N,N
後志,16281,16,1072,四,a,真狩,ﾏｯｶﾘ,makkari,虻田郡真狩村美原,42.775,140.88,440,(昭50.7.1)昭53.10.27,1975-07-01,1978-10-27,真狩,9.9,3.5,－,－,Y,Y,Y,Y,Y,N,N
後志,16286,16,0060,四,a,喜茂別,ｷﾓﾍﾞﾂ,kimobetsu,虻田郡喜茂別町伏見,42.79333333333334,140.94833333333332,264,#昭52.10.21,1974-11-01,1977-10-21,喜茂別,9.9,3.4,16920,－,Y,Y,Y,Y,Y,N,Y
後志,16321,16,0061,四,a,黒松内,ｸﾛﾏﾂﾅｲ,kuromatsunai,寿都郡黒松内町黒松内,42.663333333333334,140.31,27,#昭52.10.20,1974-11-01,1977-10-20,黒松内,9.9,3.5,16925,－,Y,Y,Y,Y,Y,N,Y
ｵﾎｰﾂｸ,17036,17,47405,官,s,雄武,ｵｳﾑ,oumu,紋別郡雄武町雄武　雄武特別地域気象観測所,44.58,142.96333333333334,14,#昭50.12.1,1974-11-01,1975-12-01,雄武,16.6,1.5,17903,－,Y,Y,Y,Y,Y,Y,Y
ｵﾎｰﾂｸ,17076,17,0063,四,a,興部,ｵｺｯﾍﾟ,okoppe,紋別郡興部町興部,44.47,143.10833333333332,8,#昭52.10.28,1974-11-01,1977-10-28,興部,9.9,3,－,－,Y,Y,Y,Y,Y,N,N
ｵﾎｰﾂｸ,17091,17,1073,四,a,西興部,ﾆｼｵｺｯﾍﾟ,nishiokoppe,紋別郡西興部村西興部,44.33166666666666,142.935,120,(昭50.7.1)昭52.10.28,1975-07-01,1977-10-28,西興部,9.9,3,17900,－,Y,Y,Y,Y,Y,N,Y
ｵﾎｰﾂｸ,17112,17,47435,官,s,紋別,ﾓﾝﾍﾞﾂ,monbetsu,紋別市南が丘町　紋別特別地域気象観測所,44.345,143.355,16,昭58.1.1,1983-01-01,1983-01-01,紋別市南が丘町,13.6,1.5,17904,－,Y,Y,Y,Y,Y,Y,Y
